t_name	SRR072893	SRR072915
FBtr0078769	954.192017	1699.380493
FBtr0078705	1310.891479	2191.13208
FBtr0081635	379.55560299999996	928.965149
FBtr0081639	1286.63916	3218.413086
FBtr0082136	1569.939331	3363.201172
FBtr0082344	693.504333	1342.399658
FBtr0347181	434.90951500000006	841.843811
FBtr0082370	1996.4160160000001	3724.97583
FBtr0082346	1687.1816410000001	2816.830566
FBtr0082606	0.0	2649.069092
FBtr0082980	5.494705000000001	1568.88208
FBtr0083006	1137.638672	1493.907837
FBtr0083057	2415.525635	3344.470215
FBtr0083120	497.468933	790.181458
FBtr0083565	685.787903	951.225342
FBtr0083964	1849.571655	3174.364014
FBtr0346148	606.321167	905.546448
FBtr0083969	701.315308	1047.421265
FBtr0084410	1509.616333	2814.400146
FBtr0084932	1126.616943	2864.871338
FBtr0085062	1121.856689	2100.6408690000003
FBtr0085248	55.145996	2410.228271
FBtr0085392	634.634827	1489.421265
FBtr0085393	497.147644	622.5509030000001
FBtr0346158	801.186462	2388.454834
FBtr0085592	1497.315063	2650.7265620000003
FBtr0089422	1337.43457	2336.087158
FBtr0089425	1213.9782710000002	2118.139893
FBtr0085772	960.157715	438.477264
FBtr0085805	1342.073486	2933.626953
FBtr0346611	419.998199	767.2193599999999
FBtr0310268	578.8742679999999	894.5238039999999
FBtr0072805	1753.053345	560.252808
FBtr0072924	1157.602905	2251.838623
FBtr0073097	962.246155	1924.86731
FBtr0076892	903.519714	1915.883911
FBtr0076633	1428.248657	2910.364502
FBtr0076479	1316.340698	873.486633
FBtr0076423	1451.7438960000002	2786.5625
FBtr0076032	1367.209961	2862.594971
FBtr0076075	749.06958	357.40792799999997
FBtr0075878	1209.772705	539.8601070000001
FBtr0075884	2018.457397	3169.5698239999997
FBtr0075066	1289.574341	2624.892822
FBtr0078481	1032.423096	1819.064209
FBtr0113742	1174.7854	1769.819946
FBtr0088525	1926.4509280000002	2726.0161129999997
FBtr0088226	496.05310099999997	525.036621
FBtr0088058	572.74469	701.477173
