t_name	SRR072893	SRR072915
FBtr0074731	936.9020390000001	1722.5625
FBtr0078056	1634.578491	2707.83667
FBtr0077714	117.136627	1261.79895
FBtr0273293	698.525146	1288.005615
FBtr0077470	1627.487183	2800.8833010000003
FBtr0077452	758.0020139999999	1934.781616
FBtr0345285	551.842285	1143.814819
FBtr0335136	534.406555	1107.675049
FBtr0079017	105.274918	1718.428345
FBtr0079124	340.32754500000004	791.262085
FBtr0079233	450.393188	586.5292969999999
FBtr0079176	884.736816	1280.9155269999999
FBtr0346716	368.075256	788.698425
FBtr0079356	336.99963399999996	731.377197
FBtr0079565	731.156433	2359.233643
FBtr0345332	809.6151120000001	1137.1838380000002
FBtr0079546	910.59552	1288.5507810000001
FBtr0100541	692.341187	3746.5205079999996
FBtr0079905	1041.5683589999999	235.60817000000003
FBtr0345436	1007.472717	227.895569
FBtr0079888	267.31076	764.3468019999999
FBtr0100164	273.181915	781.134827
FBtr0079946	950.843689	3045.080811
FBtr0079975	2114.9375	758.6992799999999
FBtr0080016	2295.229004	3625.1757810000004
FBtr0340226	569.200867	1003.046875
FBtr0080163	738.957458	1239.0876460000002
FBtr0080193	0.571905	1045.209351
FBtr0080237	0.0	1196.017212
FBtr0080835	0.0	2992.588623
FBtr0080889	366.39926099999997	706.396912
FBtr0081089	1109.228394	2219.276611
FBtr0081181	973.0948490000001	532.7981570000001
FBtr0085919	965.05896	2347.608154
FBtr0085911	2379.820557	4008.750244
FBtr0085961	955.404358	1443.9689939999998
FBtr0345541	868.176941	1340.599731
FBtr0111129	342.441284	925.173462
FBtr0111132	1612.6563720000001	2030.102295
FBtr0308296	1597.7866210000002	2984.5390620000003
FBtr0100861	82.787125	1157.735107
FBtr0100867	56.437389	1591.971191
FBtr0100868	84.57415	1695.637085
FBtr0100888	2339.313232	4556.64209
